"year","month","date","Arts_Culture","Business_Tech","OpEd_Opinion","World"
2013,"November",2013-11-01," cornelius gurlitt"," janet l yellen"," barack obama"," barack obama"
2013,"October",2013-10-01," william shakespeare"," janet l yellen"," barack obama"," barack obama"
2013,"September",2013-09-01," justin peck"," barack obama"," barack obama"," barack obama"
2014,"April",2014-04-01,"ai weiwei "," william a ackman"," barack obama"," barack obama"
2014,"August",2014-08-01," william shakespeare"," barack obama"," barack obama"," barack obama"
2014,"December",2014-12-01," michael keaton"," barack obama"," barack obama"," barack obama"
2014,"February",2014-02-01," sid caesar"," janet l yellen"," barack obama"," viktor f yanukovych"
2014,"January",2014-01-01," steve mcqueen"," marissa mayer"," barack obama"," barack obama"
2014,"July",2014-07-01," william shakespeare"," rupert murdoch"," barack obama"," john kerry"
2014,"June",2014-06-01," william shakespeare"," mary t barra"," barack obama"," barack obama"
2014,"March",2014-03-01," gregory cowles"," carl c icahn"," vladimir v putin"," vladimir v putin"
2014,"May",2014-05-01," anthony tommasini"," william a ackman"," barack obama"," narendra modi"
2014,"November",2014-11-01," bill cosby"," barack obama"," barack obama"," barack obama"
2014,"October",2014-10-01," pablo picasso"," timothy d cook"," barack obama","leung chunying "
2014,"September",2014-09-01," joan rivers"," jack ma"," barack obama"," barack obama"
2015,"April",2015-04-01," trevor  noah"," yanis varoufakis"," barack obama"," barack obama"
2015,"August",2015-08-01," jon stewart"," barack obama"," barack obama"," barack obama"
2015,"December",2015-12-01," johann sebastian bach"," martin  shkreli"," donald j trump"," barack obama"
2015,"February",2015-02-01," patricia arquette"," barack obama"," barack obama"," barack obama"
2015,"January",2015-01-01," ava duvernay"," mario draghi"," barack obama"," barack obama"
2015,"July",2015-07-01," harper lee"," alexis tsipras"," barack obama"," barack obama"
2015,"June",2015-06-01," frederick ashton"," alexis tsipras"," barack obama"," barack obama"
2015,"March",2015-03-01," jonathan banks"," ellen pao"," barack obama"," benjamin netanyahu"
2015,"May",2015-05-01," david letterman"," barack obama"," barack obama"," barack obama"
2015,"November",2015-11-01,"adele  "," eric t schneiderman"," barack obama"," barack obama"
2015,"October",2015-10-01," jennie somogyi"," jack dorsey"," barack obama"," bashar al assad"
2015,"September",2015-09-01," stephen colbert"," martin winterkorn"," donald j trump"," barack obama"
2016,"April",2016-04-01,"prince  "," donald j trump"," donald j trump"," barack obama"
2016,"August",2016-08-01," frank ocean"," donald j trump"," donald j trump"," vladimir v putin"
2016,"December",2016-12-01," george michael"," donald j trump"," donald j trump"," donald j trump"
2016,"February",2016-02-01," bill cosby"," timothy d cook"," donald j trump"," bashar al assad"
2016,"January",2016-01-01," david bowie"," donald j trump"," donald j trump"," barack obama"
2016,"July",2016-07-01," william shakespeare"," roger e ailes"," donald j trump"," recep tayyip erdogan"
2016,"June",2016-06-01," kanye west"," sumner m redstone"," donald j trump"," david cameron"
2016,"March",2016-03-01," bill cosby"," donald j trump"," donald j trump"," barack obama"
2016,"May",2016-05-01," beyonce knowles"," donald j trump"," donald j trump"," barack obama"
2016,"November",2016-11-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2016,"October",2016-10-01," bob dylan"," donald j trump"," donald j trump"," rodrigo duterte"
2016,"September",2016-09-01," kanye west"," donald j trump"," donald j trump"," barack obama"
2017,"April",2017-04-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2017,"August",2017-08-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2017,"December",2017-12-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2017,"February",2017-02-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2017,"January",2017-01-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2017,"July",2017-07-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2017,"June",2017-06-01," bill cosby"," donald j trump"," donald j trump"," donald j trump"
2017,"March",2017-03-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2017,"May",2017-05-01," jimmy kimmel"," donald j trump"," donald j trump"," donald j trump"
2017,"November",2017-11-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2017,"October",2017-10-01," donald j trump"," donald j trump"," donald j trump"," carles  puigdemont"
2017,"September",2017-09-01," jimmy kimmel"," donald j trump"," donald j trump"," donald j trump"
2018,"April",2018-04-01," bill cosby"," donald j trump"," donald j trump"," donald j trump"
2018,"August",2018-08-01," aretha franklin"," donald j trump"," donald j trump"," donald j trump"
2018,"December",2018-12-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2018,"February",2018-02-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2018,"January",2018-01-01," seth meyers"," donald j trump"," donald j trump"," donald j trump"
2018,"July",2018-07-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2018,"June",2018-06-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2018,"March",2018-03-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2018,"May",2018-05-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2018,"November",2018-11-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2018,"October",2018-10-01," donald j trump"," donald j trump"," donald j trump"," jamal khashoggi"
2018,"September",2018-09-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"April",2019-04-01," jimmy fallon"," donald j trump"," donald j trump"," donald j trump"
2019,"August",2019-08-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"December",2019-12-01," jimmy fallon"," donald j trump"," donald j trump"," donald j trump"
2019,"February",2019-02-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"January",2019-01-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"July",2019-07-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"June",2019-06-01," stephen colbert"," donald j trump"," donald j trump"," donald j trump"
2019,"March",2019-03-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"May",2019-05-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"November",2019-11-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"October",2019-10-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
2019,"September",2019-09-01," donald j trump"," donald j trump"," donald j trump"," donald j trump"
